Model,CV_ROC_AUC,CV_Std,Train_Acc,Test_Acc,Train_AUC,Test_AUC,Precision,Recall,F1,Overfitting_Gap
XGBoost,0.9430650886809364,0.0008923586835162562,0.9051525397679244,0.9015625,0.9475752822014292,0.941948261466913,0.8349480666841232,0.830526133009203,0.8327312295973884,0.005627020734516153
Random Forest,0.9396996635438093,0.0009201114250399834,0.9049604241911934,0.8998975409836065,0.946864412574359,0.9390586979500047,0.8302951388888888,0.8304393123806216,0.830367219376682,0.00780571462435431
Logistic Regression,0.9328943507620977,0.0008664958629664902,0.8939650093496248,0.8917776639344263,0.9331017489310708,0.9318494248784779,0.8441068226856657,0.776610522660184,0.8089531991860728,0.0012523240525929014
